,VDD,Temperature,Rotation Speed,Gradient
0,3.363,20.0,162,5
1,3.363,21.64,162,0
2,3.41,21.64,161,0
3,3.363,21.82,161,0
4,3.363,21.64,162,0
5,3.363,21.64,162,0
6,3.41,21.45,161,0
7,3.363,21.64,161,0
8,3.363,21.64,160,15
9,3.363,21.64,160,0
10,3.363,23.09,160,0
11,3.363,21.64,158,15
12,3.363,21.64,158,15
13,3.363,21.64,158,15
14,3.41,21.45,158,15
15,3.41,21.64,159,0
16,3.363,21.64,159,5
17,3.363,23.82,159,5
18,3.363,21.64,158,15
19,3.363,21.64,161,0
20,3.363,21.64,161,0
21,3.363,23.82,161,0
22,3.41,20.0,160,10
23,3.363,21.64,162,0
24,3.363,21.64,162,0
25,3.363,21.64,161,0
26,3.363,20.0,161,0
27,3.363,21.64,161,15
28,3.363,21.64,160,15
29,3.363,21.64,160,0
30,3.41,21.64,160,0
31,3.363,21.64,160,10
32,3.363,21.64,160,20
33,3.363,21.64,160,5
34,3.41,21.64,160,5
35,3.363,21.64,160,10
36,3.363,21.64,160,10
37,3.363,21.64,160,0
38,3.363,21.45,160,0
39,3.363,21.64,160,10
40,3.363,21.64,159,10
41,3.363,20.0,159,10
42,3.41,21.45,159,0
43,3.41,21.45,161,15
44,3.363,21.64,161,0
45,3.363,21.64,162,0
46,3.363,21.27,162,15
47,3.363,21.27,162,0
48,3.363,21.64,162,0
49,3.363,21.64,161,10
50,3.363,21.64,156,0
51,3.41,21.64,156,0
52,3.363,21.64,159,10
53,3.363,21.64,159,5
54,3.363,21.45,155,15
55,3.363,21.45,155,10
56,3.363,21.64,159,10
57,3.363,21.64,160,15
58,3.363,21.45,156,0
59,3.363,21.45,156,0
60,3.363,21.64,161,15
61,3.363,21.64,160,10
62,3.363,20.0,155,5
63,3.41,20.0,155,5
64,3.363,21.64,161,15
65,3.363,21.64,161,0
66,3.363,21.27,161,0
67,3.363,21.64,160,-5
68,3.363,21.64,160,15
69,3.363,21.64,160,15
70,3.363,21.27,160,10
71,3.363,21.64,160,10
72,3.363,21.64,161,15
73,3.363,21.64,161,15
74,3.363,21.64,160,0
75,3.363,21.64,159,-10
76,3.363,21.64,160,0
77,3.363,21.64,160,0
78,3.363,21.64,161,0
79,3.363,21.64,161,0
80,3.363,21.64,161,5
81,3.363,21.82,161,5
82,3.363,21.64,160,0
83,3.363,21.64,160,15
84,3.363,21.64,159,15
85,3.363,21.64,160,15
86,3.363,21.64,161,15
87,3.363,21.64,161,15
88,3.363,21.64,161,15
89,3.363,21.82,161,0
90,3.363,21.64,162,0
91,3.363,21.64,162,0
92,3.363,21.82,163,10
93,3.363,21.82,163,10
94,3.363,21.64,163,-10
95,3.363,21.64,161,10
96,3.363,21.82,161,0
97,3.363,21.64,161,0
98,3.363,21.64,161,0
99,3.363,21.64,161,0
100,3.363,21.64,160,10
101,3.363,21.64,160,15
102,3.363,21.64,160,0
103,3.363,21.64,159,0
104,3.363,21.64,159,0
105,3.363,21.64,160,0
106,3.363,21.64,160,0
107,3.363,21.64,161,5
108,3.363,21.64,160,5
109,3.363,21.64,161,0
110,3.363,21.82,160,10
111,3.363,21.82,160,25
112,3.363,21.64,160,10
113,3.363,21.64,160,10
114,3.363,21.64,161,15
115,3.363,21.64,161,0
116,3.363,21.64,160,15
117,3.363,21.64,160,0
118,3.363,21.64,162,0
119,3.32,21.64,161,-5
120,3.32,21.64,160,10
121,3.363,21.64,161,0
122,3.363,21.82,161,0
123,3.363,21.64,161,0
124,3.363,21.82,159,0
125,3.363,21.82,159,0
126,3.363,21.64,159,0
127,3.363,23.82,158,15
128,3.363,23.82,158,15
129,3.363,21.64,158,15
130,3.363,21.64,159,15
131,3.363,21.64,160,0
132,3.363,21.64,159,10
133,3.363,21.64,159,15
134,3.363,21.64,159,15
135,3.363,21.64,159,10
136,3.363,21.64,160,15
137,3.363,21.64,161,0
138,3.363,21.45,161,15
139,3.363,21.64,160,15
140,3.363,21.64,159,15
141,3.363,21.64,160,20
142,3.363,21.64,160,15
143,3.363,21.64,159,15
144,3.363,21.64,160,15
145,3.363,21.64,161,0
146,3.363,21.64,160,0
147,3.363,21.64,160,0
148,3.363,21.45,160,0
149,3.363,21.64,159,10
150,3.363,21.64,159,0
151,3.363,21.64,159,0
152,3.363,21.82,159,0
153,3.363,21.64,160,0
154,3.363,21.64,159,10
155,3.363,21.64,159,0
156,3.363,21.64,159,0
157,3.363,21.64,159,10
158,3.363,21.64,158,15
159,3.363,21.64,158,10
160,3.363,21.64,157,10
161,3.363,21.64,159,0
162,3.363,21.64,157,0
163,3.363,23.64,159,0
164,3.363,21.45,158,15
165,3.363,21.45,158,0
166,3.363,21.64,158,0
167,3.41,21.64,158,0
168,3.363,21.45,157,10
169,3.363,21.45,158,0
170,3.363,21.64,158,0
171,3.363,21.45,157,0
172,3.363,21.82,157,15
173,3.363,21.82,159,0
174,3.363,21.64,159,10
175,3.363,21.64,159,10
176,3.363,21.45,160,15
177,3.363,21.82,160,15
178,3.363,21.82,160,0
179,3.363,21.82,160,0
180,3.363,21.64,160,15
181,3.363,21.64,161,0
182,3.363,21.64,160,5
183,3.363,23.82,160,5
184,3.363,21.82,160,0
185,3.363,21.64,160,0
186,3.363,21.64,159,0
187,3.363,23.64,159,0
188,3.363,21.64,161,0
189,3.363,21.64,161,0
190,3.363,21.64,161,0
191,3.363,21.64,161,0
192,3.363,21.64,161,0
193,3.363,21.64,161,15
194,3.363,21.45,162,0
195,3.363,21.82,162,10
196,3.363,21.82,162,10
197,3.363,21.64,162,10
198,3.363,21.64,161,-5
199,3.363,21.64,161,0
200,3.363,21.45,161,0
201,3.363,21.64,160,10
202,3.363,21.64,158,10
203,3.363,21.64,158,10
204,3.363,23.82,159,10
205,3.363,21.45,159,0
206,3.41,21.64,158,15
207,3.41,21.64,158,15
208,3.363,19.45,159,15
209,3.363,21.64,158,15
210,3.363,21.64,158,0
211,3.363,21.64,158,15
212,3.363,21.64,158,15
